Setting,Model,Brier,ECE
Cleveland (OOF),GCN (Ours),0.1238 ± 0.0023,0.0421 ± 0.0090
Cleveland (OOF),Logistic Regression,0.1243 ± 0.0033,0.0467 ± 0.0031
Cleveland (OOF),Random Forest,0.1262 ± 0.0014,0.0546 ± 0.0061
Hungarian,GCN (Ours),0.1416 ± 0.0059,0.0907 ± 0.0105
Hungarian,Logistic Regression,0.3153 ± 0.0116,0.3181 ± 0.0136
Hungarian,Random Forest,0.1969 ± 0.0069,0.2086 ± 0.0030
Switzerland,GCN (Ours),0.2975 ± 0.0343,0.4526 ± 0.0340
Switzerland,Logistic Regression,0.5279 ± 0.2047,0.5301 ± 0.2056
Switzerland,Random Forest,0.1944 ± 0.0182,0.3560 ± 0.0220
VA Long Beach,GCN (Ours),0.2054 ± 0.0085,0.1952 ± 0.0115
VA Long Beach,Logistic Regression,0.4686 ± 0.1730,0.4709 ± 0.1728
VA Long Beach,Random Forest,0.1857 ± 0.0021,0.1693 ± 0.0120
