Topology,Setting,n,Components,ROC-AUC,Accuracy,F1,MCC,Recall,Specificity
Corr+MST (connected),Cleveland (internal val),—,1.00,0.8276 ± 0.0616,—,—,—,—,—
Corr+MST (connected),Hungarian,292,1.00,0.8728 ± 0.0067,0.8031 ± 0.0071,0.7117 ± 0.0218,0.5726 ± 0.0090,0.6829 ± 0.0876,0.8706 ± 0.0581
Corr+MST (connected),Switzerland,116,1.00,0.7433 ± 0.0083,0.6345 ± 0.0892,0.7586 ± 0.0703,0.1660 ± 0.0571,0.6315 ± 0.0983,0.6750 ± 0.0612
Corr+MST (connected),VA Long Beach,140,1.00,0.7203 ± 0.0066,0.7136 ± 0.0319,0.8097 ± 0.0297,0.2271 ± 0.0460,0.7827 ± 0.0669,0.4600 ± 0.1153
Corr only (disconnected),Cleveland (internal val),—,2.80,0.8143 ± 0.0578,—,—,—,—,—
Corr only (disconnected),Hungarian,292,2.80,0.8677 ± 0.0044,0.7921 ± 0.0201,0.6701 ± 0.0705,0.5416 ± 0.0472,0.6057 ± 0.1203,0.8968 ± 0.0545
Corr only (disconnected),Switzerland,116,2.80,0.7354 ± 0.0179,0.5543 ± 0.0952,0.6876 ± 0.0933,0.1268 ± 0.0431,0.5435 ± 0.1073,0.7000 ± 0.1000
Corr only (disconnected),VA Long Beach,140,2.80,0.7004 ± 0.0188,0.6907 ± 0.0354,0.7897 ± 0.0356,0.2051 ± 0.0686,0.7482 ± 0.0773,0.4800 ± 0.1500
No graph,Cleveland (internal val),—,8.00,0.8293 ± 0.0656,—,—,—,—,—
No graph,Hungarian,292,8.00,0.8589 ± 0.0053,0.7805 ± 0.0183,0.6442 ± 0.0636,0.5166 ± 0.0387,0.5714 ± 0.1307,0.8979 ± 0.0684
No graph,Switzerland,116,8.00,0.6343 ± 0.0225,0.5086 ± 0.1246,0.6436 ± 0.1155,0.0559 ± 0.0407,0.5019 ± 0.1449,0.6000 ± 0.1658
No graph,VA Long Beach,140,8.00,0.6900 ± 0.0041,0.7064 ± 0.0497,0.8037 ± 0.0448,0.2107 ± 0.0200,0.7800 ± 0.0981,0.4367 ± 0.1312
Fully connected,Cleveland (internal val),—,1.00,0.8164 ± 0.0610,—,—,—,—,—
Fully connected,Hungarian,292,1.00,0.8611 ± 0.0011,0.7634 ± 0.0398,0.5787 ± 0.1551,0.4746 ± 0.1064,0.5105 ± 0.2226,0.9053 ± 0.0743
Fully connected,Switzerland,116,1.00,0.7061 ± 0.0003,0.5103 ± 0.1946,0.6251 ± 0.1899,0.1279 ± 0.0915,0.4944 ± 0.2160,0.7250 ± 0.1090
Fully connected,VA Long Beach,140,1.00,0.6631 ± 0.0011,0.6700 ± 0.0639,0.7716 ± 0.0647,0.1542 ± 0.0578,0.7364 ± 0.1347,0.4267 ± 0.2043
