Operator,Node encoding,Topology,Cohort,Effective rank,ROC-AUC,F1,MCC,Specificity
GCN,Scalar node (current),No graph,Hungarian,1.0,0.8593 ± 0.0068,0.6102 ± 0.0688,0.4988 ± 0.0418,0.9241
GCN,Scalar node (current),No graph,Switzerland,1.0,0.6363 ± 0.0266,0.5901 ± 0.1051,0.0611 ± 0.0448,0.6750
GCN,Scalar node (current),No graph,VA Long Beach,1.0,0.6913 ± 0.0045,0.7841 ± 0.0468,0.2114 ± 0.0242,0.4867
GCN,Scalar node (current),Corr+MST,Hungarian,1.0,0.8755 ± 0.0037,0.7080 ± 0.0195,0.5715 ± 0.0075,0.8845
GCN,Scalar node (current),Corr+MST,Switzerland,1.0,0.7444 ± 0.0083,0.7286 ± 0.0628,0.1384 ± 0.0482,0.6750
GCN,Scalar node (current),Corr+MST,VA Long Beach,1.0,0.7211 ± 0.0068,0.7994 ± 0.0229,0.2451 ± 0.0700,0.5200
GCN,Scalar node (current),Fully connected,Hungarian,1.0,0.8613 ± 0.0007,0.6018 ± 0.0912,0.4851 ± 0.0669,0.9112
GCN,Scalar node (current),Fully connected,Switzerland,1.0,0.7063 ± 0.0005,0.6331 ± 0.1245,0.1154 ± 0.0577,0.7250
GCN,Scalar node (current),Fully connected,VA Long Beach,1.0,0.6637 ± 0.0012,0.7697 ± 0.0453,0.1306 ± 0.0444,0.4133
GCN,+ Identity embedding (d=8),No graph,Hungarian,2.13,0.8868 ± 0.0025,0.7446 ± 0.0064,0.6065 ± 0.0248,0.8524
GCN,+ Identity embedding (d=8),No graph,Switzerland,2.13,0.7414 ± 0.0050,0.8195 ± 0.0837,0.2123 ± 0.1012,0.6250
GCN,+ Identity embedding (d=8),No graph,VA Long Beach,2.13,0.7430 ± 0.0055,0.8647 ± 0.0172,0.2680 ± 0.0178,0.3133
GCN,+ Identity embedding (d=8),Corr+MST,Hungarian,1.5,0.8726 ± 0.0030,0.7159 ± 0.0283,0.5818 ± 0.0083,0.8770
GCN,+ Identity embedding (d=8),Corr+MST,Switzerland,1.5,0.7280 ± 0.0204,0.7562 ± 0.0835,0.1535 ± 0.0564,0.6500
GCN,+ Identity embedding (d=8),Corr+MST,VA Long Beach,1.5,0.7324 ± 0.0055,0.8153 ± 0.0376,0.2636 ± 0.0337,0.4933
GCN,+ Identity embedding (d=8),Fully connected,Hungarian,1.0,0.8615 ± 0.0004,0.6006 ± 0.0980,0.3963 ± 0.2087,0.7241
GCN,+ Identity embedding (d=8),Fully connected,Switzerland,1.0,0.7063 ± 0.0005,0.7154 ± 0.1673,0.0970 ± 0.0572,0.5750
GCN,+ Identity embedding (d=8),Fully connected,VA Long Beach,1.0,0.6638 ± 0.0013,0.7987 ± 0.0567,0.1024 ± 0.0609,0.3133
SAGE,Scalar node (current),No graph,Hungarian,1.73,0.8642 ± 0.0037,0.6492 ± 0.0856,0.5272 ± 0.0593,0.9134
SAGE,Scalar node (current),No graph,Switzerland,1.73,0.6569 ± 0.0263,0.6166 ± 0.0900,0.0719 ± 0.0248,0.6750
SAGE,Scalar node (current),No graph,VA Long Beach,1.73,0.6904 ± 0.0025,0.7953 ± 0.0353,0.1888 ± 0.0244,0.4400
SAGE,Scalar node (current),Corr+MST,Hungarian,2.15,0.8873 ± 0.0030,0.7221 ± 0.0302,0.5904 ± 0.0232,0.8888
SAGE,Scalar node (current),Corr+MST,Switzerland,2.15,0.7250 ± 0.0252,0.7228 ± 0.0600,0.1338 ± 0.0124,0.6750
SAGE,Scalar node (current),Corr+MST,VA Long Beach,2.15,0.7374 ± 0.0045,0.8176 ± 0.0272,0.2672 ± 0.0278,0.5000
SAGE,Scalar node (current),Fully connected,Hungarian,1.81,0.8586 ± 0.0040,0.5852 ± 0.0876,0.4796 ± 0.0718,0.9390
SAGE,Scalar node (current),Fully connected,Switzerland,1.81,0.6667 ± 0.0262,0.5867 ± 0.0784,0.0933 ± 0.0231,0.7500
SAGE,Scalar node (current),Fully connected,VA Long Beach,1.81,0.6735 ± 0.0066,0.7615 ± 0.0270,0.1453 ± 0.0503,0.4600
SAGE,+ Identity embedding (d=8),No graph,Hungarian,2.33,0.8880 ± 0.0009,0.7468 ± 0.0075,0.6002 ± 0.0074,0.8193
SAGE,+ Identity embedding (d=8),No graph,Switzerland,2.33,0.7444 ± 0.0077,0.8672 ± 0.0524,0.2628 ± 0.0816,0.6250
SAGE,+ Identity embedding (d=8),No graph,VA Long Beach,2.33,0.7413 ± 0.0044,0.8795 ± 0.0126,0.3034 ± 0.0454,0.2867
SAGE,+ Identity embedding (d=8),Corr+MST,Hungarian,2.76,0.8850 ± 0.0027,0.7140 ± 0.0296,0.5830 ± 0.0205,0.8941
SAGE,+ Identity embedding (d=8),Corr+MST,Switzerland,2.76,0.7178 ± 0.0353,0.7303 ± 0.0643,0.1279 ± 0.0330,0.6500
SAGE,+ Identity embedding (d=8),Corr+MST,VA Long Beach,2.76,0.7407 ± 0.0067,0.8246 ± 0.0296,0.3004 ± 0.0292,0.5267
SAGE,+ Identity embedding (d=8),Fully connected,Hungarian,2.45,0.8780 ± 0.0064,0.6801 ± 0.0656,0.5554 ± 0.0468,0.8888
SAGE,+ Identity embedding (d=8),Fully connected,Switzerland,2.45,0.7243 ± 0.0058,0.7240 ± 0.1309,0.1446 ± 0.0970,0.6500
SAGE,+ Identity embedding (d=8),Fully connected,VA Long Beach,2.45,0.7208 ± 0.0273,0.8143 ± 0.0531,0.2380 ± 0.0218,0.4333
