id_dim,Node encoding,Topology,Effective rank (conv1),ROC-AUC,F1,MCC,Accuracy
0,Scalar node (paper baseline),No graph,1.01,0.8967 ± 0.0479,0.7901 ± 0.0696,0.6242 ± 0.1292,0.8075 ± 0.0668
0,Scalar node (paper baseline),Corr+MST,1.0,0.9056 ± 0.0408,0.7988 ± 0.0595,0.6320 ± 0.1218,0.8131 ± 0.0638
0,Scalar node (paper baseline),Fully connected,1.0,0.8973 ± 0.0432,0.7917 ± 0.0704,0.6113 ± 0.1389,0.8032 ± 0.0735
2,Identity embedding (d=2),No graph,1.45,0.9111 ± 0.0416,0.8038 ± 0.0534,0.6405 ± 0.1051,0.8163 ± 0.0549
2,Identity embedding (d=2),Corr+MST,1.19,0.9051 ± 0.0412,0.8051 ± 0.0590,0.6429 ± 0.1170,0.8207 ± 0.0609
2,Identity embedding (d=2),Fully connected,1.0,0.8973 ± 0.0432,0.7909 ± 0.0723,0.6085 ± 0.1429,0.8010 ± 0.0757
4,Identity embedding (d=4),No graph,2.02,0.9136 ± 0.0355,0.8022 ± 0.0493,0.6399 ± 0.1034,0.8163 ± 0.0545
4,Identity embedding (d=4),Corr+MST,1.38,0.9055 ± 0.0411,0.8094 ± 0.0503,0.6488 ± 0.0966,0.8240 ± 0.0494
4,Identity embedding (d=4),Fully connected,1.0,0.8973 ± 0.0432,0.7913 ± 0.0729,0.6093 ± 0.1437,0.8021 ± 0.0759
8,Identity embedding (d=8),No graph,2.79,0.9119 ± 0.0396,0.8139 ± 0.0576,0.6602 ± 0.1121,0.8283 ± 0.0585
8,Identity embedding (d=8),Corr+MST,1.62,0.8238 ± 0.2294,0.7898 ± 0.0838,0.5670 ± 0.2503,0.7767 ± 0.1372
8,Identity embedding (d=8),Fully connected,1.0,0.8293 ± 0.2066,0.7686 ± 0.0790,0.5213 ± 0.2401,0.7493 ± 0.1338
16,Identity embedding (d=16),No graph,3.97,0.9141 ± 0.0386,0.8115 ± 0.0566,0.6472 ± 0.1209,0.8196 ± 0.0653
16,Identity embedding (d=16),Corr+MST,2.04,0.9046 ± 0.0400,0.7978 ± 0.0639,0.6256 ± 0.1357,0.8087 ± 0.0734
16,Identity embedding (d=16),Fully connected,1.0,0.8973 ± 0.0432,0.7912 ± 0.0732,0.6094 ± 0.1444,0.8021 ± 0.0762
32,Identity embedding (d=32),No graph,5.57,0.9143 ± 0.0368,0.8117 ± 0.0458,0.6523 ± 0.0915,0.8239 ± 0.0481
32,Identity embedding (d=32),Corr+MST,2.58,0.8538 ± 0.1847,0.7884 ± 0.0718,0.5902 ± 0.1960,0.7911 ± 0.1078
32,Identity embedding (d=32),Fully connected,1.0,0.7787 ± 0.2865,0.7606 ± 0.0851,0.5128 ± 0.2412,0.7470 ± 0.1348
