rng_seed,comparison,mean,lo95,hi95,P(delta<=0),excludes_0
42,GCN - Logistic Regression,0.1538,0.0725,0.2338,0.0003,yes
42,GCN - Random Forest,0.0491,0.004,0.1346,0.0143,yes
7,GCN - Logistic Regression,0.1538,0.0719,0.2339,0.0003,yes
7,GCN - Random Forest,0.0483,0.003,0.1336,0.0155,yes
2024,GCN - Logistic Regression,0.1536,0.0718,0.2345,0.0001,yes
2024,GCN - Random Forest,0.049,0.0036,0.1349,0.0152,yes
999,GCN - Logistic Regression,0.1536,0.0728,0.2341,0.0001,yes
999,GCN - Random Forest,0.0487,0.0036,0.1352,0.0152,yes
12345,GCN - Logistic Regression,0.1537,0.0711,0.234,0.0,yes
12345,GCN - Random Forest,0.049,0.0035,0.1346,0.0154,yes
