Feature,Real mean,Syn mean,Real std,Syn std,Real min,Syn min,Real max,Syn max,|Δmean|/std
age,54.439,54.372,9.039,9.047,29.0,29.0,77.0,77.0,0.007
sex,0.68,0.675,0.467,0.468,0.0,0.0,1.0,1.0,0.01
cp,2.158,2.152,0.96,0.958,0.0,0.0,3.0,3.0,0.007
trestbps,131.69,131.443,17.6,17.598,94.0,94.0,200.0,200.0,0.014
chol,246.693,246.252,51.777,51.788,126.0,126.0,564.0,564.0,0.009
fbs,0.149,0.152,0.356,0.359,0.0,0.0,1.0,1.0,0.01
restecg,0.99,0.971,0.995,0.992,0.0,0.0,2.0,2.0,0.019
thalach,149.607,149.972,22.875,22.8,71.0,71.0,202.0,202.0,0.016
exang,0.327,0.322,0.47,0.467,0.0,0.0,1.0,1.0,0.01
oldpeak,1.04,1.044,1.161,1.162,0.0,0.0,6.2,6.2,0.004
slope,0.601,0.603,0.616,0.614,0.0,0.0,2.0,2.0,0.004
ca,0.663,0.656,0.934,0.935,0.0,0.0,3.0,3.0,0.008
thal,1.832,1.828,0.957,0.955,1.0,1.0,3.0,3.0,0.004
target (prevalence),0.459,0.461,,,,,,,
